date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:59	12215/12215	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Apr%202022%2022:09:01%20GMT	https://sso.utep.edu/RSTS/Login?wa=wsignin1.0&wtrealm=urn%3asso.utep.edu%2fCloudAccessManager%2fRPSTS&wreply=https%3a%2f%2fsso.utep.edu%2fCloudAccessManager%2fRPSTS%2fWSFed%2fLogin.aspx&primaryProviderID=ActiveDirectory_2	C:/My%20Web%20Sites/XSSProject/sso.utep.edu/RSTS/Login871c.html	(from )
16:09:00	907/907	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Apr%202022%2022:09:01%20GMT	https://sso.utep.edu/robots.txt		(from )
16:09:00	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2030%20Apr%202022%2022:09:02%20GMT	https://my.utep.edu/?t=1651356518595&r=tGDLDRPWBtY0&h=09edcfe4c24c38ed1ac60ec1452673fb	C:/My%20Web%20Sites/XSSProject/my.utep.edu/index00fa.html	(from )
16:09:01	402266/402266	---MCZ	200	added ('OK')	text/css	date:Fri,%2009%20Oct%202015%2018:40:06%20GMT	https://sso.utep.edu/_WTStatic/public/common.css	C:/My%20Web%20Sites/XSSProject/sso.utep.edu/_WTStatic/public/common.css	(from https://sso.utep.edu/RSTS/Login?wa=wsignin1.0&wtrealm=urn%3asso.utep.edu%2fCloudAccessManager%2fRPSTS&wreply=https%3a%2f%2fsso.utep.edu%2fCloudAccessManager%2fRPSTS%2fWSFed%2fLogin.aspx&primaryProviderID=ActiveDirectory_2)
16:09:01	15086/15086	---MCZ	200	added ('OK')	image/x-icon	date:Sat,%2030%20Apr%202022%2022:09:02%20GMT	https://sso.utep.edu/RSTS/images/dell48-32-16.ico	C:/My%20Web%20Sites/XSSProject/sso.utep.edu/RSTS/images/dell48-32-16.ico	(from https://sso.utep.edu/RSTS/Login?wa=wsignin1.0&wtrealm=urn%3asso.utep.edu%2fCloudAccessManager%2fRPSTS&wreply=https%3a%2f%2fsso.utep.edu%2fCloudAccessManager%2fRPSTS%2fWSFed%2fLogin.aspx&primaryProviderID=ActiveDirectory_2)
16:09:02	93637/93637	---MCZ	200	added ('OK')	application/x-javascript	date:Sat,%2030%20Apr%202022%2022:09:02%20GMT	https://sso.utep.edu/RSTS/JavaScript/jquery-1.8.3.min.js	C:/My%20Web%20Sites/XSSProject/sso.utep.edu/RSTS/JavaScript/jquery-1.8.3.min.js	(from https://sso.utep.edu/RSTS/Login?wa=wsignin1.0&wtrealm=urn%3asso.utep.edu%2fCloudAccessManager%2fRPSTS&wreply=https%3a%2f%2fsso.utep.edu%2fCloudAccessManager%2fRPSTS%2fWSFed%2fLogin.aspx&primaryProviderID=ActiveDirectory_2)
16:09:02	8706/8706	---MCZ	200	added ('OK')	application/x-javascript	date:Sat,%2030%20Apr%202022%2022:09:02%20GMT	https://sso.utep.edu/RSTS/UserLogin/Login.js	C:/My%20Web%20Sites/XSSProject/sso.utep.edu/RSTS/UserLogin/Login.js	(from https://sso.utep.edu/RSTS/Login?wa=wsignin1.0&wtrealm=urn%3asso.utep.edu%2fCloudAccessManager%2fRPSTS&wreply=https%3a%2f%2fsso.utep.edu%2fCloudAccessManager%2fRPSTS%2fWSFed%2fLogin.aspx&primaryProviderID=ActiveDirectory_2)
16:09:02	914/914	---M--	200	added ('OK')	application/javascript	etag:%220495755d533d21:0%22	https://sso.utep.edu/CloudAccessManager/RPSTS/Scripts/SocialAuth-min.js	C:/My%20Web%20Sites/XSSProject/sso.utep.edu/CloudAccessManager/RPSTS/Scripts/SocialAuth-min.js	(from https://sso.utep.edu/RSTS/Login?wa=wsignin1.0&wtrealm=urn%3asso.utep.edu%2fCloudAccessManager%2fRPSTS&wreply=https%3a%2f%2fsso.utep.edu%2fCloudAccessManager%2fRPSTS%2fWSFed%2fLogin.aspx&primaryProviderID=ActiveDirectory_2)
16:09:03	1003/1003	---MCZ	200	added ('OK')	application/x-javascript	date:Sat,%2030%20Apr%202022%2022:09:04%20GMT	https://sso.utep.edu/RSTS/JavaScript/html5placeholder.jquery.js	C:/My%20Web%20Sites/XSSProject/sso.utep.edu/RSTS/JavaScript/html5placeholder.jquery.js	(from https://sso.utep.edu/RSTS/Login?wa=wsignin1.0&wtrealm=urn%3asso.utep.edu%2fCloudAccessManager%2fRPSTS&wreply=https%3a%2f%2fsso.utep.edu%2fCloudAccessManager%2fRPSTS%2fWSFed%2fLogin.aspx&primaryProviderID=ActiveDirectory_2)
16:09:03	626/626	---MCZ	200	added ('OK')	application/x-javascript	date:Sat,%2030%20Apr%202022%2022:09:04%20GMT	https://sso.utep.edu/RSTS/JavaScript/jquery.reveal.js	C:/My%20Web%20Sites/XSSProject/sso.utep.edu/RSTS/JavaScript/jquery.reveal.js	(from https://sso.utep.edu/RSTS/Login?wa=wsignin1.0&wtrealm=urn%3asso.utep.edu%2fCloudAccessManager%2fRPSTS&wreply=https%3a%2f%2fsso.utep.edu%2fCloudAccessManager%2fRPSTS%2fWSFed%2fLogin.aspx&primaryProviderID=ActiveDirectory_2)
16:09:04	10448/10448	---M-Z	200	added ('OK')	text/css	date:Thu,%2028%20Apr%202022%2017:54:20%20GMT	https://sso.utep.edu/_WTStatic/public/customization/theme.css	C:/My%20Web%20Sites/XSSProject/sso.utep.edu/_WTStatic/public/customization/theme.css	(from https://sso.utep.edu/RSTS/Login?wa=wsignin1.0&wtrealm=urn%3asso.utep.edu%2fCloudAccessManager%2fRPSTS&wreply=https%3a%2f%2fsso.utep.edu%2fCloudAccessManager%2fRPSTS%2fWSFed%2fLogin.aspx&primaryProviderID=ActiveDirectory_2)
16:09:04	147/147	---MCZ	200	added ('OK')	text/plain	etag:%221d85bc0aa83271e%22	https://my.utep.edu/robots.txt		(from )
16:09:08	28304/28304	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Apr%202022%2022:09:06%20GMT	https://my.utep.edu/My	C:/My%20Web%20Sites/XSSProject/my.utep.edu/My.html	(from https://my.utep.edu/?t=1651356518595&r=tGDLDRPWBtY0&h=09edcfe4c24c38ed1ac60ec1452673fb)
16:09:08	23311/23311	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2009%20Oct%202015%2016:44:22%20GMT	https://sso.utep.edu/_WTStatic/public/cui/fonts/museosansfordell-100-webfont.eot	C:/My%20Web%20Sites/XSSProject/sso.utep.edu/_WTStatic/public/cui/fonts/museosansfordell-100-webfont.eot	(from https://sso.utep.edu/_WTStatic/public/common.css)
16:09:09	23311/23311	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2009%20Oct%202015%2016:44:22%20GMT	https://sso.utep.edu/_WTStatic/public/cui/fonts/museosansfordell-100-webfont.eot?	C:/My%20Web%20Sites/XSSProject/sso.utep.edu/_WTStatic/public/cui/fonts/museosansfordell-100-webfontd41d.eot	(from https://sso.utep.edu/_WTStatic/public/common.css)
16:09:09	26528/26528	---M--	200	added ('OK')	application/font-woff	date:Fri,%2009%20Oct%202015%2016:44:22%20GMT	https://sso.utep.edu/_WTStatic/public/cui/fonts/museosansfordell-100-webfont.woff	C:/My%20Web%20Sites/XSSProject/sso.utep.edu/_WTStatic/public/cui/fonts/museosansfordell-100-webfont.woff	(from https://sso.utep.edu/_WTStatic/public/common.css)
16:09:10	44164/44164	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2014%20Jan%202015%2014:58:50%20GMT	https://sso.utep.edu/_WTStatic/public/cui/fonts/museosansfordell-100-webfont.ttf	C:/My%20Web%20Sites/XSSProject/sso.utep.edu/_WTStatic/public/cui/fonts/museosansfordell-100-webfont.ttf	(from https://sso.utep.edu/_WTStatic/public/common.css)
16:09:10	61661/61661	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2014%20Jan%202015%2014:58:50%20GMT	https://sso.utep.edu/_WTStatic/public/cui/fonts/museosansfordell-100-webfont.svg	C:/My%20Web%20Sites/XSSProject/sso.utep.edu/_WTStatic/public/cui/fonts/museosansfordell-100-webfont.svg	(from https://sso.utep.edu/_WTStatic/public/common.css)
16:09:11	72674/72674	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2014%20Jan%202015%2014:58:50%20GMT	https://sso.utep.edu/_WTStatic/public/cui/fonts/fa-dell.eot	C:/My%20Web%20Sites/XSSProject/sso.utep.edu/_WTStatic/public/cui/fonts/fa-dell.eot	(from https://sso.utep.edu/_WTStatic/public/common.css)
16:09:11	72674/72674	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2014%20Jan%202015%2014:58:50%20GMT	https://sso.utep.edu/_WTStatic/public/cui/fonts/fa-dell.eot?	C:/My%20Web%20Sites/XSSProject/sso.utep.edu/_WTStatic/public/cui/fonts/fa-delld41d.eot	(from https://sso.utep.edu/_WTStatic/public/common.css)
16:09:11	108636/108636	---M--	200	added ('OK')	application/font-woff	date:Wed,%2014%20Jan%202015%2014:58:50%20GMT	https://sso.utep.edu/_WTStatic/public/cui/fonts/fa-dell.woff	C:/My%20Web%20Sites/XSSProject/sso.utep.edu/_WTStatic/public/cui/fonts/fa-dell.woff	(from https://sso.utep.edu/_WTStatic/public/common.css)
16:09:12	72516/72516	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2014%20Jan%202015%2014:58:50%20GMT	https://sso.utep.edu/_WTStatic/public/cui/fonts/fa-dell.ttf	C:/My%20Web%20Sites/XSSProject/sso.utep.edu/_WTStatic/public/cui/fonts/fa-dell.ttf	(from https://sso.utep.edu/_WTStatic/public/common.css)
16:09:12	260654/260654	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2014%20Jan%202015%2014:58:50%20GMT	https://sso.utep.edu/_WTStatic/public/cui/fonts/fa-dell.svg	C:/My%20Web%20Sites/XSSProject/sso.utep.edu/_WTStatic/public/cui/fonts/fa-dell.svg	(from https://sso.utep.edu/_WTStatic/public/common.css)
16:09:12	5122/5122	---M--	200	added ('OK')	image/png	etag:%220bae7f0d333d21:0%22	https://sso.utep.edu/CloudAccessManager/RPSTS/content/CUI/img/spinner.blue.png	C:/My%20Web%20Sites/XSSProject/sso.utep.edu/CloudAccessManager/RPSTS/content/CUI/img/spinner.blue.png	(from https://sso.utep.edu/_WTStatic/public/common.css)
16:09:13	1098/1098	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Apr%202022%2022:09:13%20GMT	https://sso.utep.edu/_WTStatic/public/CUI/img/spinner.black.png	C:/My%20Web%20Sites/XSSProject/sso.utep.edu/_WTStatic/public/CUI/img/spinner.black.15.delayed	(from https://sso.utep.edu/_WTStatic/public/common.css)
16:09:14	72674/72674	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2014%20Jan%202015%2014:58:50%20GMT	https://sso.utep.edu/_WTStatic/public/CUI/fonts/fa-dell.eot	C:/My%20Web%20Sites/XSSProject/sso.utep.edu/_WTStatic/public/CUI/fonts/fa-dell-2.eot	(from https://sso.utep.edu/_WTStatic/public/common.css)
